iter	Logloss
0	0.622686811
1	0.5789711787
2	0.5307759436
3	0.502412472
4	0.4658925212
5	0.4485273064
6	0.4295868783
7	0.4112896612
8	0.3988396889
9	0.3880317412
10	0.3790498138
11	0.3686473269
12	0.3642686439
13	0.3593118821
14	0.3523318777
15	0.3482650509
16	0.3413648798
17	0.3408849829
18	0.3339465257
19	0.3299442916
20	0.3272516979
21	0.3243825031
22	0.3217637653
23	0.3175373762
24	0.3154747394
25	0.3131763287
26	0.3107823451
27	0.3099422518
28	0.3078905206
29	0.3067456398
30	0.3048568202
31	0.3044952257
32	0.3043529156
33	0.303600209
34	0.3025643908
35	0.301553137
36	0.3004366233
37	0.2979813672
38	0.2971662805
39	0.2968429838
40	0.2926451825
41	0.2905043971
42	0.2895906869
43	0.2883591519
44	0.2875488115
45	0.2851425207
46	0.2845615679
47	0.2834794809
48	0.2829189034
49	0.2829189367
50	0.2808627139
51	0.2808349635
52	0.2801751978
53	0.2783800546
54	0.2771143411
55	0.2763948541
56	0.2729715874
57	0.2703257052
58	0.2677492281
59	0.266183262
60	0.2655939747
61	0.2646065984
62	0.2637200782
63	0.2619111626
64	0.2609280964
65	0.2582871924
66	0.2570213737
67	0.2547759492
68	0.2535336674
69	0.2527440892
70	0.2518376706
71	0.2498977469
72	0.2468664934
73	0.2457104825
74	0.2439709925
75	0.2429661188
76	0.2420637173
77	0.2412893114
78	0.2405622582
79	0.2402164864
80	0.2393752764
81	0.2379021426
82	0.2360185482
83	0.235044802
84	0.2334670988
85	0.2306461262
86	0.2296857591
87	0.2288154667
88	0.2278741263
89	0.2270290428
90	0.226470959
91	0.2243314603
92	0.2225120422
93	0.2212792159
94	0.2203710183
95	0.2177421254
96	0.2159747747
97	0.2154419383
98	0.2149108259
99	0.2135402013
100	0.2135027024
101	0.2125613134
102	0.2116639823
103	0.2111983151
104	0.2099299306
105	0.2092916638
106	0.2091624438
107	0.2081836896
108	0.2070781093
109	0.2053621908
110	0.2053112225
111	0.2052795657
112	0.2041463824
113	0.2030889038
114	0.2021702928
115	0.2016570911
116	0.2011093012
117	0.2003275627
118	0.1994428916
119	0.1981048908
120	0.1967706345
121	0.1961651541
122	0.1948967988
123	0.1939298919
124	0.1926329696
125	0.191356174
126	0.1899109072
127	0.189866917
128	0.189465913
129	0.1890458896
130	0.1879262463
131	0.187175098
132	0.1859526217
133	0.1859124347
134	0.1856119958
135	0.1846860297
136	0.1844579004
137	0.1836369938
138	0.1834820586
139	0.1826967403
140	0.1816976933
141	0.1813884444
142	0.1809737538
143	0.1805500564
144	0.1800459668
145	0.1788234334
146	0.1778116914
147	0.1766640001
148	0.1762900096
149	0.1761579028
150	0.1752749823
151	0.1750144501
152	0.174986639
153	0.174758181
154	0.1741257126
155	0.173633792
156	0.1731011592
157	0.1714091879
158	0.1708852212
159	0.170783328
160	0.1700054884
161	0.1685984647
162	0.1676889674
163	0.1672263447
164	0.1669068728
165	0.1659622736
166	0.1650685032
167	0.1644312636
168	0.1641380358
169	0.1636375038
170	0.1629578682
171	0.1622956115
172	0.1620575659
173	0.1601221515
174	0.1594970979
175	0.1586112808
176	0.1576946806
177	0.1572339482
178	0.1565694625
179	0.1557932061
180	0.1557702971
181	0.1557597716
182	0.1548149078
183	0.1544253208
184	0.1540269832
185	0.1540051011
186	0.1539849839
187	0.1535403783
188	0.15324549
189	0.152477354
190	0.1516445735
191	0.1516285737
192	0.1507136294
193	0.1498020855
194	0.1490135099
195	0.1486689545
196	0.1483591767
197	0.1473782465
198	0.146365105
199	0.1450058987
